Models,Accuracy,Precision,Recall,F1-score
Random Forest,0.9649,0.9673,0.9581,0.9623
Decision Tree,0.9386,0.9331,0.9369,0.9349
Logistic Regression,0.9737,0.9742,0.9697,0.9719
SVM,0.9825,0.9863,0.9767,0.9812
Optimized Neural Network,0.9912,0.9931,0.9884,0.9906
